dataset,model,status,native_or_fallback,query_id,spectrum_id,true_candidate_id,adduct,precursor_mz,candidate_pool_policy,candidate_count,candidate_spectra_count,missing_candidate_spectra,nan_score_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,16,16,CASMI_MOL_1196803,[M+H]+,522.596526377514,full_candidate_set_for_each_selected_query,103,103,0,0,5.0,False,True,True,0.2
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,34,34,CASMI_MOL_1196823,[M+H]+,88.075645446777,full_candidate_set_for_each_selected_query,457,457,0,0,7.0,False,False,True,0.14285714285714285
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,35,35,CASMI_MOL_1196824,[M+H]+,812.47884213126,full_candidate_set_for_each_selected_query,233,233,0,0,71.0,False,False,False,0.014084507042253521
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,39,39,CASMI_MOL_1196829,[M+H]+,110.059909596967,full_candidate_set_for_each_selected_query,859,859,0,0,327.0,False,False,False,0.0030581039755351682
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,46,46,CASMI_MOL_1196837,[M+H]+,145.075823480782,full_candidate_set_for_each_selected_query,960,960,0,0,674.0,False,False,False,0.001483679525222552
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,53,53,CASMI_MOL_1196844,[M+H]+,98.096313476563,full_candidate_set_for_each_selected_query,1206,1206,0,0,337.0,False,False,False,0.002967359050445104
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,68,68,CASMI_MOL_1196860,[M+H]+,114.127519082222,full_candidate_set_for_each_selected_query,1511,1511,0,0,687.0,False,False,False,0.001455604075691412
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,78,78,CASMI_MOL_1196869,[M+H]+,103.086471920208,full_candidate_set_for_each_selected_query,787,787,0,0,3.0,False,True,True,0.3333333333333333
CASMI2022,CFM-ID + MS2DeepScore complete-query hybrid subset,completed,cfmid_generated_spectra_ms2deepscore_similarity_complete_query_hybrid,145,145,CASMI_MOL_1196938,[M+H]+,903.254591557378,full_candidate_set_for_each_selected_query,316,316,0,0,30.0,False,False,False,0.03333333333333333
